Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
67,64,44547.09,13455.56,633,24,No
68,54,59427.89,3000.0,712,60,No
69,30,64791.02,44604.68,576,60,Yes
70,56,61939.76,13610.79,682,12,Yes
71,34,66225.98,14054.78,693,12,Yes
72,51,50339.31,9228.51,632,48,Yes
73,35,77280.47,11540.06,672,48,No
74,28,87332.53,18490.62,698,60,No
75,34,35959.86,30814.51,719,36,Yes
76,43,41766.03,18445.21,687,48,No
77,60,60646.25,17411.5,773,60,No
78,41,56151.74,29602.19,761,48,No
79,36,88446.19,15804.83,678,24,No
80,38,63296.76,20169.2,587,12,Yes
81,44,80888.18,12627.44,646,60,Yes
82,46,29263.14,33481.07,524,48,Yes
83,45,72212.54,28388.08,667,12,Yes
84,61,49267.25,18776.1,778,36,No
85,49,49026.86,16804.45,735,48,No
86,35,56274.63,19745.28,686,60,Yes
87,21,38631.25,18892.94,629,24,Yes
88,45,66641.78,7625.44,689,12,Yes
89,27,62860.72,28661.34,829,12,No
90,29,63992.88,18182.9,784,24,No
91,44,73305.47,35186.72,669,60,No
92,21,82721.73,23374.53,576,36,Yes
93,64,54544.33,3000.0,835,24,No
94,28,67160.26,9747.01,629,36,No
95,44,64394.82,3000.0,717,60,No
96,31,65664.22,9647.62,571,48,Yes
97,37,65888.96,6931.19,657,48,No
98,28,83857.55,22020.54,571,60,Yes
99,55,53104.85,17471.32,599,36,No
100,55,37113.96,25924.32,615,24,Yes
101,53,49531.89,19695.2,713,60,No
102,25,71359.0,18077.53,673,60,No
103,62,60349.94,36025.66,850,48,No
104,59,52986.01,21782.58,759,24,No
105,61,43852.54,19355.91,761,48,Yes
106,48,63319.29,13172.47,715,36,No
107,27,69667.59,10592.69,699,36,Yes
108,29,64588.08,26164.01,763,12,No
109,28,56200.05,25685.57,513,60,Yes
110,32,62199.62,32572.63,636,24,Yes
111,54,62112.64,23831.29,585,24,Yes
112,53,62845.45,16855.18,548,48,Yes
113,43,42235.43,24088.08,626,48,Yes
114,44,62959.9,19357.6,600,24,Yes
115,57,53391.05,26923.08,764,48,No
116,55,75609.28,30674.65,686,12,Yes
117,64,61993.78,18651.55,539,60,Yes
118,60,72532.19,34058.48,702,12,No
119,42,55473.28,29506.78,609,36,Yes
120,47,56014.29,20141.47,684,24,No
121,55,82413.77,25365.95,708,12,Yes
122,21,66545.03,22443.98,627,12,No
123,55,49282.28,20175.95,695,48,No
124,57,73454.62,35305.16,708,48,No
125,34,52000.43,24140.84,669,48,Yes
126,23,63385.47,13272.25,630,36,No
127,21,87550.12,11776.24,680,12,No
128,25,38530.76,12103.22,670,60,Yes
129,46,57363.27,23916.04,702,48,No
130,34,66124.07,17267.89,662,36,Yes
131,59,71470.48,22666.35,597,36,Yes
132,47,41381.49,27491.17,668,48,No
133,29,36963.15,36229.71,703,24,Yes
134,35,76361.24,17452.21,693,12,No
135,35,49193.78,8731.6,672,48,Yes
136,46,48565.76,34339.22,646,60,No
137,62,83253.75,8343.19,642,12,Yes
138,33,61045.53,8028.57,650,36,No
139,52,61143.57,34131.6,755,60,Yes
140,59,57303.01,28529.85,614,12,Yes
141,52,41640.27,23878.72,686,60,No
142,24,70135.45,19600.63,592,36,Yes
143,50,66141.76,18086.37,734,48,No
144,57,62530.37,14793.39,642,60,No
145,43,58255.15,17735.65,622,48,Yes
146,59,55615.21,19620.68,695,36,No
147,35,73687.25,9004.4,508,36,Yes
148,63,57880.6,13438.17,589,60,Yes
149,49,59039.08,3104.65,705,60,Yes
150,56,67948.4,20623.42,751,36,No
151,33,63119.41,20624.81,712,60,Yes
152,52,84634.14,34228.12,690,60,No
153,27,33579.5,23004.44,849,60,No
154,42,64498.61,15551.66,714,60,No
155,48,49415.91,18397.16,607,12,Yes
156,22,45868.7,23894.58,752,36,No
157,62,53144.04,21820.9,635,36,Yes
158,26,60820.19,24626.29,630,24,Yes
159,48,61486.04,23016.36,583,48,Yes
160,48,37240.41,17978.85,651,24,No
161,64,51883.74,15713.65,594,60,Yes
162,64,64218.32,15283.5,719,60,No
163,40,46846.04,12597.83,671,12,Yes
164,50,43278.24,11343.05,585,12,No
165,31,26158.02,34707.71,674,12,Yes
166,48,50052.1,20997.68,750,12,No
167,45,42755.56,18757.59,794,12,Yes
168,59,45241.01,16032.93,555,12,Yes
169,53,55922.7,23431.03,626,12,No
170,21,51002.57,29629.31,590,12,Yes
171,47,42506.43,25786.12,705,12,Yes
172,33,28262.38,27372.71,581,36,Yes
173,61,64534.67,15307.77,754,12,No
174,23,71292.41,19966.97,764,48,No
175,59,54048.83,15412.98,737,12,No
176,26,56013.36,20856.25,630,60,Yes
177,28,60042.16,30180.73,634,60,Yes
178,47,83681.75,23515.23,648,12,No
179,29,36484.38,33013.71,757,12,No
180,57,53782.65,17691.81,561,60,Yes
181,53,34170.41,13544.31,707,48,No
182,62,65434.78,24097.03,615,24,Yes
183,64,57840.62,20950.87,651,36,No
184,44,63044.88,22581.62,732,60,No
185,35,62296.84,21385.76,574,12,Yes
186,52,74860.62,16124.53,661,36,No
187,52,68071.99,21565.89,671,12,No
188,44,72457.62,27786.96,677,24,No
189,61,44016.98,28608.86,673,24,Yes
190,32,77897.56,16083.87,719,60,No
191,59,49164.56,21848.05,648,36,No
192,22,50026.96,31816.89,706,36,No
193,23,64062.64,16256.87,703,24,Yes
194,57,64528.77,14804.43,700,12,No
195,37,43922.15,26355.22,717,60,No
196,22,57400.81,24951.67,700,48,Yes
197,22,82323.53,13304.19,674,24,No
198,48,37974.95,8804.32,591,24,Yes
199,43,82278.29,21692.45,775,60,No
200,57,56374.52,16651.22,799,12,No
201,52,24933.68,6527.39,655,36,No
202,53,39499.02,14502.38,712,24,Yes
203,21,45547.84,24820.88,642,60,Yes
204,39,50641.06,18788.71,630,60,Yes
205,22,58429.3,32528.83,684,60,Yes
206,64,20000.0,3302.1,850,36,No
207,46,62802.07,30703.94,792,24,No
208,52,44173.64,17248.77,781,60,No
209,26,80857.84,16092.63,716,36,No
210,52,55947.35,7590.45,616,12,Yes
211,24,74142.69,23720.65,753,48,No
212,31,76655.23,5385.9,481,24,Yes
213,37,76249.1,26543.23,707,36,No
214,58,51503.9,7893.09,757,48,No
215,44,51312.0,9154.35,691,48,No
216,25,56625.4,10470.28,796,36,Yes
217,54,69543.56,14272.4,580,36,Yes
218,26,52339.57,27536.61,792,36,Yes
219,42,58211.06,32031.65,669,60,No
220,31,64103.91,15099.25,782,12,No
221,36,46426.62,19627.5,751,60,No
222,53,45478.38,23919.34,786,48,No
223,29,57626.04,17365.5,748,48,No
224,26,59612.68,23606.06,728,48,No
225,36,66508.28,19967.36,776,36,No
226,49,70078.3,17972.32,684,24,Yes
227,23,43514.06,8641.47,722,60,No
228,40,47818.73,21192.35,680,24,Yes
229,56,45438.72,27667.01,632,12,Yes
230,39,81186.71,13773.78,717,12,No
231,46,58195.94,4253.83,694,60,No
232,23,60241.94,17443.59,768,48,No
233,39,60866.62,32078.17,667,12,No
234,40,49264.95,29695.6,627,24,Yes
235,52,83464.04,15356.3,767,24,No
236,27,66165.4,23644.12,684,36,No
237,61,60593.86,24908.37,625,48,No
238,53,43421.15,31922.7,777,36,No
239,60,42571.01,7595.34,745,60,Yes
240,59,55366.39,11449.37,809,12,No
241,38,49500.12,3921.96,656,36,No
242,60,43988.33,14572.73,646,36,No
243,21,54435.63,28530.44,604,60,Yes
244,31,56753.58,15522.25,640,24,Yes
245,48,62126.78,9534.49,653,24,Yes
246,45,52441.21,21813.09,728,60,No
247,43,44885.99,22018.95,615,24,Yes
248,51,45406.19,11863.6,634,60,Yes
249,50,78194.59,15951.63,799,24,No
250,62,41223.63,21204.61,475,60,Yes
251,55,65447.73,25967.89,714,24,No
252,27,67793.19,14809.02,590,36,Yes
253,36,58180.87,13656.19,624,36,Yes
254,46,86517.44,35300.44,780,24,No
255,22,67525.78,17807.79,685,60,Yes
256,21,87643.55,21995.47,850,36,No
257,32,50234.04,25186.92,724,12,No
258,25,50490.82,5704.91,622,24,No
259,57,67913.06,19851.78,719,12,No
260,52,56078.02,6834.27,759,12,No
261,29,85284.98,18953.78,717,48,No
262,61,65125.51,30984.99,665,12,Yes
263,55,44331.39,12012.25,562,12,Yes
264,39,33947.75,6668.65,657,48,Yes
265,36,58826.42,35101.49,797,48,No
266,23,58663.15,10823.54,624,48,Yes
267,40,64706.49,8011.37,651,60,Yes
268,44,78160.36,32952.25,750,48,No
269,53,76186.7,10508.24,723,60,Yes
270,44,51316.48,33159.31,588,24,Yes
271,31,40592.71,22192.73,672,60,Yes
272,28,41488.18,30271.66,778,24,Yes
273,56,48947.97,21488.53,682,48,No
274,58,54499.03,28637.62,780,48,No
275,60,64575.93,12652.41,784,24,No
276,40,47985.49,15091.18,615,36,Yes
277,55,64205.88,3075.91,659,60,No
278,45,65430.6,27774.25,726,12,No
279,55,62150.16,23356.55,572,48,Yes
280,45,43070.66,11941.4,664,60,Yes
281,49,67017.4,6008.78,718,60,No
282,38,91219.04,22254.51,636,48,No
283,38,63688.45,33407.64,721,24,No
284,22,20000.0,18896.31,638,48,Yes
285,55,78613.19,14732.43,637,60,Yes
286,36,49458.78,12503.41,732,36,No
287,61,93985.69,29994.79,776,24,No
288,56,61745.45,13766.02,630,48,No
289,53,34729.49,17030.57,595,12,Yes
290,24,29029.54,28333.88,677,48,Yes
291,53,83096.11,25099.85,713,60,No
292,34,76588.57,17336.73,630,60,No
293,41,93390.28,14408.18,796,12,No
294,40,60163.87,31724.63,670,24,No
295,28,59152.05,11069.04,629,60,No
296,27,54259.22,18317.72,815,24,No
297,23,50125.65,7952.99,769,24,No
298,37,54113.56,29510.94,629,48,Yes
299,53,63261.95,16200.91,755,24,No
300,32,47341.49,14402.99,634,60,Yes
301,42,34960.66,25293.3,734,60,No
302,42,62398.15,8595.88,804,36,Yes
303,50,47007.07,25083.05,595,24,Yes
304,58,20000.0,17115.66,642,36,Yes
305,58,68288.51,10357.61,644,48,No
306,28,43379.11,12077.9,699,36,Yes
307,47,69926.84,14526.4,713,24,No
308,47,69567.72,16447.65,674,60,No
309,54,64253.85,10411.79,562,48,Yes
310,41,97452.27,22356.13,594,24,Yes
311,50,57929.22,10202.22,618,48,No
312,53,55715.41,3000.0,719,12,No
313,48,70255.09,35356.96,582,24,Yes
314,53,59168.29,21583.42,616,12,No
315,25,77407.4,36075.93,601,36,Yes
316,39,40967.91,11650.73,704,24,No
317,24,41217.38,23838.36,759,12,No
318,55,71487.14,27156.87,691,60,No
319,37,42527.84,18485.23,820,36,No
320,64,69136.48,8444.4,691,24,Yes
321,48,65550.04,17884.15,673,24,Yes
322,50,49582.68,25011.18,625,60,No
323,49,65507.55,24705.76,694,60,Yes
324,26,41481.11,19986.97,622,12,No
325,55,45001.5,27178.3,611,12,Yes
326,61,56442.18,26800.69,609,12,Yes
327,57,61183.92,15810.66,664,48,Yes
328,44,55445.42,7836.64,645,36,No
329,49,66496.74,21523.47,850,24,No
330,51,65827.0,14026.9,695,36,No
331,55,82940.5,21149.99,694,60,No
332,53,58570.72,30764.24,641,36,Yes
333,41,77918.45,23499.94,850,36,No
334,52,73810.88,30370.05,615,12,Yes
335,43,94409.66,11908.16,647,60,No
336,53,58091.13,28699.65,750,36,No
337,23,53694.62,33412.78,694,24,No
338,38,78865.41,20514.58,591,12,Yes
339,45,65781.49,38576.43,682,36,No
340,62,79224.89,13140.55,728,60,Yes
341,51,70751.98,14889.33,716,24,No
342,23,28398.57,25199.48,726,60,No
343,60,65644.83,20435.72,833,60,No
344,44,64668.24,14056.74,699,60,No
345,52,61996.6,24952.83,736,48,No
346,42,58016.35,22844.33,510,24,Yes
347,43,36117.85,15309.79,811,60,No
348,22,73112.65,21512.41,685,48,No
349,47,65606.53,26072.2,619,12,Yes
350,62,76529.35,15132.33,666,48,No
351,22,36918.67,24135.97,726,12,No
352,46,67607.02,13063.65,752,48,No
353,37,56480.11,14609.4,673,60,Yes
354,60,62156.82,28892.7,722,48,No
355,53,56652.61,24909.97,662,48,No
356,29,68154.12,4905.3,714,60,Yes
357,63,57556.9,17006.2,694,12,No
358,59,44221.28,23917.57,701,60,No
359,49,61296.38,21110.92,658,24,Yes
360,62,56787.38,24945.63,708,48,No
361,46,58749.1,20927.85,622,24,No
362,55,20000.0,18939.22,694,60,Yes
363,45,70239.54,18694.7,636,60,Yes
364,44,55280.05,28729.43,610,36,Yes
365,33,39777.7,25559.52,631,24,Yes
366,27,73838.45,23237.95,665,36,No
367,56,69545.49,20710.66,643,24,No
368,40,55090.2,15609.45,708,36,Yes
369,21,42717.46,17545.97,686,36,No
370,28,62670.46,28517.37,751,24,No
371,36,61846.59,27764.02,674,60,No
372,34,73865.01,14811.42,693,12,No
373,32,53343.97,20799.36,811,60,Yes
374,43,77923.83,23987.74,649,12,Yes
375,35,51896.2,23465.48,660,24,Yes
376,48,39812.52,23403.86,764,48,No
377,54,43015.76,11103.4,613,60,Yes
378,22,59063.83,10628.13,772,36,No
379,52,59017.28,29361.56,663,60,Yes
380,43,64917.92,32072.2,622,24,Yes
381,42,58644.39,8147.83,743,48,No
382,45,74659.78,19777.92,662,48,Yes
383,42,56083.59,26512.41,808,60,No
384,42,30055.86,3000.0,686,60,No
385,62,58183.55,11413.3,685,60,No
386,26,29898.32,19262.42,639,24,Yes
387,35,64070.86,15222.09,670,12,Yes
388,63,75857.89,21673.15,661,12,No
389,57,45206.63,31763.86,773,36,No
390,53,81278.35,13177.62,700,24,No
391,28,72642.47,20402.18,729,48,No
392,64,78097.2,17241.63,687,36,No
393,64,62843.46,21090.92,651,48,Yes
394,25,45108.52,20046.4,706,48,No
395,59,71712.23,41097.59,791,60,No
396,24,50630.99,31916.62,607,48,Yes
397,26,61768.27,7352.52,709,48,No
398,52,57429.74,12798.92,785,24,No
399,50,76870.44,13777.14,623,60,Yes
400,55,70954.91,10125.8,745,60,No
401,60,58791.51,9053.1,745,36,No
402,36,30725.89,18573.07,589,60,No
403,33,50471.59,14082.5,758,12,No
404,62,70563.33,12873.65,638,24,Yes
405,50,64201.65,36163.79,705,36,No
406,39,37451.67,14632.98,752,12,Yes
407,37,32901.18,16454.66,764,48,No
408,39,62932.64,25931.65,572,12,Yes
409,48,44144.14,16427.77,805,36,No
410,46,45588.05,10674.61,779,60,No
411,57,70089.12,17936.48,754,24,No
412,46,78033.58,36069.87,705,36,No
413,43,48739.47,16148.46,650,12,No
414,29,59328.6,12705.87,604,12,No
415,32,58886.3,23361.84,566,36,Yes
416,21,57536.94,17552.68,725,36,Yes
417,21,60608.98,41911.95,754,36,No
418,54,71347.48,13704.82,674,60,No
419,52,49891.13,33869.85,648,36,Yes
420,45,37120.84,29307.12,685,48,No
421,60,85350.15,16949.24,635,24,Yes
422,21,76341.33,19971.88,682,24,Yes
423,36,43445.43,11760.96,631,48,Yes
424,59,62034.48,15692.47,723,12,No
425,25,75160.53,16892.43,767,12,No
426,42,71235.66,21262.83,716,12,No
427,49,66930.2,8698.56,674,12,No
428,23,57446.6,22491.88,749,60,No
429,32,85909.56,18833.05,681,48,No
430,46,63312.88,23184.86,747,24,No
431,36,52275.61,24378.45,635,48,Yes
432,57,73066.14,18192.52,645,24,No
433,42,61440.88,23905.58,611,12,No
434,49,65246.97,19302.59,647,60,No
435,34,63047.24,25947.78,749,36,No
436,48,67451.63,22529.01,619,36,No
437,25,45323.16,21448.33,519,12,Yes
438,50,38233.4,19180.43,651,12,No
439,25,81511.99,30366.53,598,48,No
440,32,63743.77,23241.48,645,60,No
441,36,71562.71,9428.3,827,60,No
442,46,33603.61,16224.39,618,48,Yes
443,46,76000.25,18171.32,724,60,Yes
444,41,52177.72,19991.01,674,60,Yes
445,59,47906.73,21413.66,706,36,No
446,56,59049.4,12446.27,644,60,Yes
447,53,45330.3,19456.02,761,12,No
448,50,59974.02,17487.03,710,36,No
449,57,57954.92,28677.95,712,12,No
450,43,75905.94,12039.37,687,12,No
451,30,82700.17,19860.97,768,48,No
452,25,82222.74,14516.92,719,60,No
453,56,26032.28,34903.97,706,60,No
454,54,45972.5,30052.91,726,60,No
455,51,25876.7,6861.14,557,60,Yes
456,30,42096.87,13630.29,693,36,Yes
457,39,50257.23,26967.39,676,24,No
458,52,66158.42,23658.26,762,12,No
459,21,52201.0,23407.45,631,24,Yes
460,25,52618.95,21526.82,694,24,No
461,24,62726.47,27609.6,815,24,No
462,36,34360.36,26247.81,678,36,No
463,44,47421.1,17675.55,587,24,Yes
464,36,52446.65,10405.93,832,36,No
465,22,56963.97,6479.48,630,48,Yes
466,48,61154.31,19170.89,607,48,Yes
467,52,82509.75,5280.79,610,48,Yes
468,47,73625.04,22007.97,731,36,No
469,40,48460.35,17535.75,771,36,No
470,44,56080.06,35551.29,803,12,No
471,32,55058.41,22745.03,681,24,No
472,55,52287.71,19766.2,611,60,Yes
473,53,64087.74,7070.64,640,60,Yes
474,53,32103.31,9901.43,682,24,Yes
475,63,73210.72,25450.83,679,60,No
476,57,85403.26,17495.23,772,60,No
477,32,55952.39,40283.01,588,60,Yes
478,23,55659.53,19335.59,602,36,Yes
479,21,62355.66,21351.38,658,36,No
480,53,75290.79,9464.82,706,36,No
481,60,55135.59,27579.45,649,24,Yes
482,30,74009.18,12594.23,643,48,Yes
483,63,67327.42,24195.3,762,60,No
484,64,95424.17,26494.35,713,12,No
485,49,55070.07,20761.55,611,36,Yes
486,33,30359.99,34055.77,644,12,No
487,32,38505.91,15114.38,716,60,No
488,51,60178.92,33404.32,592,48,Yes
489,22,75418.23,9832.43,716,12,No
490,55,50212.36,26392.23,656,60,Yes
491,43,56536.01,18860.69,705,60,No
492,37,70272.64,14334.94,688,36,No
493,46,45521.51,6709.77,602,48,Yes
494,28,50830.96,17914.65,635,60,Yes
495,49,42484.1,17409.48,781,48,No
496,46,77673.42,21383.25,846,36,No
497,30,83125.09,25798.52,558,12,Yes
498,46,36308.78,13532.27,753,24,No
499,54,57867.22,34066.14,701,24,Yes
500,61,81108.88,15691.72,826,24,No
501,27,65980.43,24817.55,641,48,No
502,24,52661.41,20721.34,743,24,No
503,31,36807.57,18410.32,659,12,No
504,49,77294.17,20320.46,770,60,Yes
505,56,65407.73,12477.7,842,48,No
506,45,37905.2,16899.47,695,12,Yes
507,41,77848.37,9281.96,600,48,Yes
508,56,35993.95,15605.84,779,48,No
509,30,56692.71,16266.66,720,48,No
510,57,56030.78,26761.77,706,36,No
511,29,84275.72,17344.6,791,60,No
512,44,56084.31,16415.35,600,24,Yes
513,55,56030.36,21760.32,630,36,Yes
514,55,39553.82,21446.82,722,60,No
515,56,50394.03,15271.67,628,24,Yes
516,38,47740.57,23153.83,658,36,No
517,59,48521.66,18570.82,769,36,No
518,52,60094.27,15258.69,710,12,No
519,44,23487.35,16036.17,597,36,Yes
520,43,37346.55,27594.81,709,48,No
521,52,58334.72,16276.58,767,36,No
522,57,61818.82,22089.0,692,48,No
523,32,56498.51,9740.8,741,60,Yes
524,33,59388.08,28922.44,644,60,No
525,43,53863.25,15336.05,698,48,No
526,45,59722.43,23202.32,570,12,Yes
527,55,66512.13,17987.45,724,12,No
528,61,66407.01,23110.67,705,60,No
529,50,49665.62,23547.52,590,36,Yes
530,37,73726.42,18842.69,786,60,No
531,40,62356.63,5072.28,720,60,No
532,45,78483.21,28728.12,632,48,Yes
533,42,81493.09,18880.78,726,12,Yes
534,33,38359.1,22944.05,611,48,Yes
535,39,47114.59,25533.75,621,60,No
536,56,72203.22,16342.61,611,24,Yes
537,32,35026.61,24137.08,609,36,Yes
538,61,81302.65,14019.18,711,60,No
539,39,54841.77,23100.34,687,48,Yes
540,32,68625.5,20157.62,732,24,No
541,29,58254.14,16620.04,483,24,Yes
542,27,39114.16,20375.94,653,60,Yes
543,48,75833.17,11558.45,654,12,Yes
544,34,101260.85,22472.32,684,24,No
545,51,52274.88,23302.58,682,36,Yes
546,39,55164.62,22765.12,696,48,Yes
547,36,20263.51,32017.37,686,48,Yes
548,25,80272.54,19240.21,648,48,Yes
549,55,73676.48,19791.02,652,60,Yes
550,32,33999.24,10637.84,676,48,No
551,45,29026.72,32579.76,715,48,No
552,41,30761.53,8014.85,686,36,Yes
553,56,69677.54,21828.51,625,12,Yes
554,43,71174.87,15081.75,621,60,Yes
555,36,46149.99,20498.53,716,60,Yes
556,59,67488.9,9535.53,733,48,No
557,62,62383.16,27133.31,755,36,No
558,59,54490.95,12358.56,646,24,No
559,34,74552.95,29330.02,549,48,Yes
560,51,41925.97,12579.12,707,48,No
561,25,77213.09,27801.7,630,60,Yes
562,55,49072.18,13352.28,673,60,Yes
563,43,86723.05,15083.12,690,48,No
564,49,44920.41,19985.23,719,60,Yes
565,63,54726.42,13216.59,743,36,No
566,31,60878.81,12980.99,762,24,No
567,38,60784.78,13309.27,772,24,No
568,32,67362.43,22550.84,687,24,No
569,29,40714.76,19996.4,562,48,Yes
570,30,59440.31,20421.05,637,48,Yes
571,64,62071.98,17402.94,779,48,No
572,37,52083.93,24389.6,690,36,Yes
573,58,66060.88,28400.46,832,24,No
574,27,39804.45,24604.94,653,60,Yes
575,33,55103.19,18328.23,842,60,No
576,60,48702.24,10233.72,680,12,Yes
577,62,55148.54,4183.35,651,12,No
578,29,81705.53,19481.08,630,60,Yes
579,47,81996.84,4054.47,726,24,Yes
580,22,79056.25,18405.56,581,48,Yes
581,25,53066.14,31220.99,642,60,Yes
582,49,73614.27,10772.24,676,60,No
583,57,61685.43,9711.14,522,12,Yes
584,58,60683.85,25095.47,673,24,No
585,39,58839.58,3000.0,800,60,No
586,28,86376.27,23054.47,710,48,No
587,21,80487.58,31748.07,634,48,Yes
588,42,71173.45,13020.12,647,36,No
589,37,57445.49,11646.08,704,48,No
590,27,60593.41,24720.19,644,60,Yes
591,45,67958.5,10634.05,713,60,Yes
592,24,52175.87,26486.55,642,48,Yes
593,56,74074.74,11285.52,608,12,Yes
594,26,46181.32,34147.22,763,24,No
595,51,65877.66,25298.45,730,60,Yes
596,39,25654.27,20304.35,548,48,Yes
597,64,51740.72,33686.04,656,48,Yes
598,59,91165.16,28252.35,753,60,No
599,47,75542.87,22948.93,668,36,Yes
600,30,83032.03,5094.24,639,24,No
601,46,49990.38,14388.05,662,60,Yes
602,39,61556.59,28683.28,688,48,No
603,59,79229.88,9598.99,667,36,Yes
604,23,69496.42,13874.21,674,60,No
605,33,67628.49,11823.22,670,24,No
606,48,84458.73,23218.85,612,36,Yes
607,40,44393.18,27708.89,608,48,No
608,48,57236.43,27716.79,604,12,Yes
609,28,33688.72,13177.44,686,24,No
610,61,43573.41,23109.27,721,36,No
611,59,76112.78,12800.94,614,60,Yes
612,21,46239.76,18315.61,575,60,Yes
613,23,71032.86,24161.34,619,36,No
614,33,84877.28,28491.0,778,60,No
615,48,57330.93,3000.0,658,36,No
616,45,67797.95,20789.08,665,24,Yes
617,53,71149.68,31258.35,624,60,Yes
618,58,41677.57,21857.76,720,24,No
619,26,50753.21,20660.91,671,48,No
620,64,44945.08,15495.94,629,48,No
621,52,51949.15,31046.02,608,48,Yes
622,41,70741.66,15865.73,706,48,Yes
623,36,51072.05,19198.8,698,60,No
624,41,59472.7,16238.29,593,36,No
625,31,44363.08,20865.56,766,60,No
626,57,78396.33,31405.22,635,60,No
627,56,51823.35,12751.15,524,24,Yes
628,55,82844.71,20900.43,787,36,No
629,39,60913.94,23128.52,673,12,No
630,40,38895.01,13501.34,710,12,No
631,38,57434.6,19527.87,797,36,No
632,61,44058.35,34810.72,610,12,Yes
633,34,68840.24,5852.09,714,36,Yes
634,35,56079.56,16630.39,762,24,No
635,51,62448.15,22004.48,615,24,Yes
636,21,54459.7,16992.46,782,60,Yes
637,23,51669.87,43089.98,581,12,Yes
638,36,45395.67,24389.53,673,36,No
639,43,72543.34,11645.05,605,24,Yes
640,31,57402.7,3000.0,729,60,No
641,32,55279.64,22722.21,612,12,Yes
642,30,57026.79,13955.05,637,12,Yes
643,52,49817.07,30311.19,618,12,Yes
644,36,55329.73,17801.08,596,24,No
645,28,63084.45,15453.19,626,24,Yes
646,58,44487.95,15318.02,677,12,No
647,32,46659.72,27892.07,673,24,Yes
648,44,80674.26,23324.66,665,12,No
649,48,54558.65,34047.65,633,48,No
650,28,51726.59,18279.14,655,24,Yes
651,48,39841.93,26898.24,569,36,Yes
652,56,72760.16,27035.01,631,24,Yes
653,46,44161.11,25390.51,664,12,No
654,28,59770.61,15921.14,701,36,No
655,48,34377.22,23787.26,692,60,No
656,48,72272.59,19222.06,594,36,Yes
657,57,77652.84,19011.87,710,36,Yes
658,61,67267.81,13553.52,689,24,No
659,56,36982.8,3037.29,781,36,Yes
660,47,72581.43,29987.01,575,36,Yes
661,37,47589.77,23452.47,670,12,No
662,29,42435.42,9254.41,752,24,No
663,53,54248.08,25741.68,659,12,Yes
664,40,53949.48,30145.08,616,24,Yes
665,33,52424.27,26221.34,623,60,No
666,48,79105.11,12866.89,735,36,No
